OfficeName,ObservedYears,CycleEstimate,PredictionReason
CITY QUESTION 1 (St. Cloud),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
CITY QUESTION 1 (Staples),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Trimont),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Wadena),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Warren),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
CITY QUESTION 10 (Fairmont),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 2 (Baudette),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 2 (Brooklyn Center),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
CITY QUESTION 2 (Cloquet),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 2 (Edina),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 2 (Fairmont),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 2 (Fergus Falls),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 2 (Hermantown),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 2 (Oakdale),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
CITY QUESTION 2 (St. Cloud),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
CITY QUESTION 2 (Waite Park),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 3 (Brooklyn Center),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 3 (Fairmont),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 3 (Hermantown),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 4 (Fairmont),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 5 (Fairmont),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 6 (Fairmont),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 7 (Fairmont),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 8 (Fairmont),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 9 (Fairmont),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Aldrich),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
City Treasurer (Borup),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Buckman),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Delhi),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
City Treasurer (Elba),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Floodwood),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Greenwald),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Harding),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Hillman),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Holland),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
City Treasurer (Holt),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
City Treasurer (Humboldt),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Kerrick),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Kingston),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Leonidas),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Louisburg),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Marble),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Minnetonka Beach),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
City Treasurer (Ogema),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Pierz),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Porter),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Sobieski),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Solway),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (St. Rosa),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (St. Vincent),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Strandquist),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Taopi),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Trosky),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
City Treasurer (Vining),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
City Treasurer (Westport),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
City Treasurer (Wilton),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Treasurer (Zumbro Falls),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Council Member (Adrian) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Aitkin) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Akeley) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member (Albany) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Albertville) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Alden) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Aldrich),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member (Alpha) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Altura) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Alvarado) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Amboy) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Annandale) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Apple Valley) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Arco) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Arden Hills) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Argyle) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Arlington) (Elect 2),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member (Ashby) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Askov) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Atwater) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Audubon) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Avoca) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Avon) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Babbitt) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Backus) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Badger) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Bagley) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Balaton) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Barnum) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Barrett) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Battle Lake) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Baxter) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Beaver Creek) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Becker) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Belgrade) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Belle Plaine) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Bellechester) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Beltrami) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Belview) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Bena) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Benson) (Elect 2),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Council Member (Bertha) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Big Falls) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Big Lake) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Bigelow) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Bigfork) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Bingham Lake) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Bird Island) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Biscay) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Biwabik) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Blomkest) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Blooming Prairie) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Bluffton),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Council Member (Bluffton) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Bock) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Borup),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member (Bovey) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Bowlus),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member (Boy River) (Elect 2),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Council Member (Braham) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Brandon) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Breezy Point) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Brewster) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Bricelyn) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Brook Park) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Brooklyn Center) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Brooks) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Brookston),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Brooten) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Browerville) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Brownsdale) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Brownsville) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Brownton) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Bruno) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Buckman) (Elect 2),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member (Buffalo Lake) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Buffalo) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Buhl) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Burnsville) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Burtrum) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Butterfield),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member (Butterfield) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Byron) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Caledonia) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Callaway) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Calumet) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cambridge) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Canby) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cannon Falls) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Carlos) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Carlton) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cass Lake) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cedar Mills) (Elect 2),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Council Member (Center City) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Ceylon) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Chandler) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Chickamaw Beach),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member (Chisago City) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Chisholm) (Elect 2),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member (Clara City) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Claremont) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Clarissa) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Clarkfield) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Clarks Grove) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Clear Lake) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Clearbrook) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Clearwater) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Clements) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cleveland) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Climax) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Clitherall) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Coates) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cobden),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member (Cohasset) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cokato) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cold Spring) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Coleraine) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Comfrey) (Elect 2),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Council Member (Comstock) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Conger) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cook) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Corcoran) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cosmos) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cottonwood) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Credit River) (Elect 2),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Council Member (Cromwell) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Crosby) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Crosslake) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Currie) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cuyuna) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Cyrus) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Dakota) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Dalton) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Danube) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Darfur) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member (Darwin) (Elect 2),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
